episode,timestep,reward
1999,2000,0.8667
3999,4000,0.8822
5999,6000,0.8564
7999,8000,0.8735
9999,10000,0.7994
11999,12000,0.7941
13999,14000,0.7717
15999,16000,0.7529
17999,18000,0.6737
19999,20000,0.7043
21999,22000,0.6495
23999,24000,0.6618
25999,26000,0.6193
27999,28000,0.6331
29999,30000,0.6255
31999,32000,0.5989
33999,34000,0.5735
35999,36000,0.5864
37999,38000,0.5897
39999,40000,0.5834
41999,42000,0.6137
43999,44000,0.6058
45999,46000,0.608
47999,48000,0.6025
49999,50000,0.6155
51999,52000,0.6305
53999,54000,0.6391
55999,56000,0.6113
57999,58000,0.6253
59999,60000,0.6117
61999,62000,0.6246
63999,64000,0.6376
65999,66000,0.6572
67999,68000,0.6503
69999,70000,0.6389
71999,72000,0.6513
73999,74000,0.6817
75999,76000,0.6509
77999,78000,0.6537
79999,80000,0.6354
81999,82000,0.6494
83999,84000,0.6668
85999,86000,0.6682
87999,88000,0.6546
89999,90000,0.6703
91999,92000,0.669
93999,94000,0.6488
95999,96000,0.6791
97999,98000,0.6593
99999,100000,0.6922
