episode,timestep,reward
1999,2000,2121.5
3999,4000,2095.4494
5999,6000,1840.4572
7999,8000,1890.4673
9999,10000,1435.4912
11999,12000,1630.469
13999,14000,1265.4907
15999,16000,1205.5069
17999,18000,1020.5241
19999,20000,1065.5198
21999,22000,775.5004
23999,24000,895.5138
25999,26000,585.5228
27999,28000,695.5095
29999,30000,395.5055
31999,32000,435.5369
33999,34000,335.514
35999,36000,340.56
37999,38000,200.5269
39999,40000,215.5391
41999,42000,125.5227
43999,44000,125.5154
45999,46000,95.5206
47999,48000,45.5289
49999,50000,65.5528
51999,52000,70.5419
53999,54000,40.6012
55999,56000,50.5733
57999,58000,40.5797
59999,60000,20.5671
61999,62000,25.5835
63999,64000,40.6005
65999,66000,35.5836
67999,68000,40.5836
69999,70000,40.562
71999,72000,50.5966
73999,74000,50.5937
75999,76000,55.593
77999,78000,65.5617
79999,80000,75.5862
81999,82000,90.5742
83999,84000,85.5729
85999,86000,95.56
87999,88000,85.5741
89999,90000,115.5675
91999,92000,165.5574
93999,94000,160.547
95999,96000,150.5612
97999,98000,130.5844
99999,100000,150.5668
