episode,timestep,reward
10,2000,668.4
21,4000,578.1818
31,6000,690.8
40,8000,513.5556
51,10000,655.0909
61,12000,895.4
72,14000,432.3636
81,16000,727.3333
92,18000,487.0909
102,20000,732.8
112,22000,402.0
123,24000,448.1818
134,26000,668.7273
144,28000,523.4
154,30000,606.2
164,32000,462.2
175,34000,546.0
187,36000,543.5
196,38000,588.4444
206,40000,631.4
215,42000,920.0
226,44000,517.0909
236,46000,671.2
245,48000,811.5556
254,50000,717.3333
264,52000,582.0
276,54000,364.1667
287,56000,542.9091
297,58000,395.4
307,60000,680.4
317,62000,378.8
326,64000,570.0
336,66000,529.0
346,68000,511.2
356,70000,585.8
366,72000,802.4
374,74000,1021.75
385,76000,438.9091
397,78000,334.5
408,80000,613.6364
418,82000,937.2
428,84000,487.2
441,86000,411.2308
452,88000,653.4545
461,90000,497.5556
470,92000,665.5556
479,94000,429.5556
488,96000,484.6667
498,98000,406.6
508,100000,491.2
522,102000,547.2857
532,104000,503.8
543,106000,450.9091
554,108000,506.3636
563,110000,601.1111
573,112000,396.2
583,114000,490.6
592,116000,464.6667
603,118000,375.2727
613,120000,822.6
625,122000,474.3333
636,124000,368.5455
645,126000,451.3333
656,128000,466.5455
665,130000,521.5556
676,132000,544.9091
686,134000,534.0
696,136000,647.4
707,138000,477.2727
718,140000,368.5455
728,142000,793.8
738,144000,811.4
749,146000,460.0
758,148000,699.5556
768,150000,483.4
778,152000,724.2
788,154000,401.2
797,156000,595.5556
807,158000,849.6
818,160000,518.0
828,162000,811.2
838,164000,483.0
849,166000,519.0909
860,168000,567.0909
869,170000,646.6667
880,172000,346.0
892,174000,590.1667
902,176000,553.0
911,178000,646.4444
922,180000,576.5455
935,182000,353.5385
946,184000,362.9091
958,186000,535.8333
970,188000,315.8333
980,190000,388.2
995,192000,261.8667
1005,194000,517.4
1018,196000,307.2308
1030,198000,332.0
1038,200000,448.0
